timestamp,sandboxLog,lambdaLog
1700,,"mid=9983.0 dyn_mean=9999.8 z=-0.53 mom=0.0 trend=0.00 regime=MILD_REVERSION target=37 pos_orig=0 took=0 gap=37 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
1800,,"mid=9981.0 dyn_mean=9999.8 z=-0.59 mom=0.0 trend=0.00 regime=MILD_REVERSION target=48 pos_orig=0 took=0 gap=48 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9973(✓) ask@9989(✓) qty=1"
1900,,"mid=9982.0 dyn_mean=9999.8 z=-0.56 mom=0.0 trend=0.00 regime=MILD_REVERSION target=42 pos_orig=0 took=0 gap=42 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9974(✓) ask@9990(✓) qty=1"
2000,,"mid=9986.0 dyn_mean=9999.8 z=-0.43 mom=0.0 trend=0.00 regime=MILD_REVERSION target=21 pos_orig=0 took=0 gap=21 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
2100,,"mid=9987.0 dyn_mean=9999.8 z=-0.40 mom=0.0 trend=0.00 regime=MILD_REVERSION target=16 pos_orig=0 took=0 gap=16 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
2200,,"mid=9988.0 dyn_mean=9999.8 z=-0.37 mom=0.0 trend=0.00 regime=MILD_REVERSION target=11 pos_orig=0 took=0 gap=11 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
2300,,"mid=9985.0 dyn_mean=9999.8 z=-0.46 mom=0.0 trend=0.00 regime=MILD_REVERSION target=26 pos_orig=0 took=0 gap=26 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9977(✓) ask@9993(✓) qty=1"
2400,,"mid=9987.0 dyn_mean=9999.7 z=-0.40 mom=0.0 trend=0.00 regime=MILD_REVERSION target=16 pos_orig=0 took=0 gap=16 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
2500,,"mid=9982.5 dyn_mean=9999.7 z=-0.54 mom=0.0 trend=0.00 regime=MILD_REVERSION target=39 pos_orig=0 took=0 gap=39 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9974(✓) ask@9990(✓) qty=1"
2600,,"mid=9986.0 dyn_mean=9999.7 z=-0.43 mom=0.0 trend=0.00 regime=MILD_REVERSION target=21 pos_orig=0 took=0 gap=21 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
2700,,"mid=9988.0 dyn_mean=9999.7 z=-0.37 mom=0.0 trend=0.00 regime=MILD_REVERSION target=10 pos_orig=0 took=0 gap=10 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
2800,,"mid=9987.0 dyn_mean=9999.7 z=-0.40 mom=0.0 trend=0.00 regime=MILD_REVERSION target=16 pos_orig=0 took=0 gap=16 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
2900,,"mid=9990.0 dyn_mean=9999.7 z=-0.30 mom=0.0 trend=0.00 regime=MILD_REVERSION target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9982(✓) ask@9998(✓) qty=1"
3000,,"mid=9991.0 dyn_mean=9999.7 z=-0.27 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9983(✓) ask@9999(✓) qty=1"
3100,,"mid=9991.0 dyn_mean=9999.7 z=-0.27 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9983(✓) ask@9999(✓) qty=1"
3200,,"mid=9992.0 dyn_mean=9999.7 z=-0.24 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9984(✓) ask@10000(✓) qty=1"
3300,,"mid=9991.0 dyn_mean=9999.6 z=-0.27 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9983(✓) ask@9999(✓) qty=1"
3400,,"mid=9992.0 dyn_mean=9999.6 z=-0.24 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9984(✓) ask@10000(✓) qty=1"
3500,,"mid=9989.0 dyn_mean=9999.6 z=-0.33 mom=0.0 trend=0.00 regime=MILD_REVERSION target=5 pos_orig=0 took=0 gap=5 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
3600,,"mid=9988.0 dyn_mean=9999.6 z=-0.36 mom=0.0 trend=0.00 regime=MILD_REVERSION target=10 pos_orig=0 took=0 gap=10 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
3700,,"mid=9994.5 dyn_mean=9999.6 z=-0.16 mom=0.0 trend=0.00 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9986(✓) ask@10002(✓) qty=1"
3800,,"mid=9990.0 dyn_mean=9999.6 z=-0.30 mom=0.0 trend=0.00 regime=MILD_REVERSION target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9982(✓) ask@9998(✓) qty=1"
3900,,"mid=9989.0 dyn_mean=9999.6 z=-0.33 mom=0.0 trend=0.00 regime=MILD_REVERSION target=5 pos_orig=0 took=0 gap=5 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
4000,,"mid=9989.0 dyn_mean=9999.6 z=-0.33 mom=0.0 trend=0.00 regime=MILD_REVERSION target=5 pos_orig=0 took=0 gap=5 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
4100,,"mid=9987.0 dyn_mean=9999.6 z=-0.39 mom=0.0 trend=0.00 regime=MILD_REVERSION target=15 pos_orig=0 took=0 gap=15 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
4200,,"mid=9986.0 dyn_mean=9999.6 z=-0.42 mom=0.0 trend=0.00 regime=MILD_REVERSION target=20 pos_orig=0 took=0 gap=20 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
4300,,"mid=9985.0 dyn_mean=9999.5 z=-0.45 mom=0.0 trend=0.00 regime=MILD_REVERSION target=25 pos_orig=0 took=0 gap=25 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9977(✓) ask@9993(✓) qty=1"
4400,,"mid=9983.0 dyn_mean=9999.5 z=-0.52 mom=0.0 trend=0.00 regime=MILD_REVERSION target=36 pos_orig=0 took=0 gap=36 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
4500,,"mid=9987.0 dyn_mean=9999.5 z=-0.39 mom=0.0 trend=0.00 regime=MILD_REVERSION target=15 pos_orig=0 took=0 gap=15 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
4600,,"mid=9987.0 dyn_mean=9999.5 z=-0.39 mom=0.0 trend=0.00 regime=MILD_REVERSION target=15 pos_orig=0 took=0 gap=15 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
4700,,"mid=9983.0 dyn_mean=9999.5 z=-0.52 mom=0.0 trend=0.00 regime=MILD_REVERSION target=35 pos_orig=0 took=0 gap=35 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
4800,,"mid=9983.0 dyn_mean=9999.5 z=-0.51 mom=0.0 trend=0.00 regime=MILD_REVERSION target=35 pos_orig=0 took=0 gap=35 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
4900,,"mid=9984.0 dyn_mean=9999.4 z=-0.48 mom=0.0 trend=-0.97 regime=MILD_REVERSION target=30 pos_orig=0 took=0 gap=30 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9976(✓) ask@9992(✓) qty=1"
5000,,"mid=9983.0 dyn_mean=9999.4 z=-0.51 mom=0.0 trend=-0.86 regime=MILD_REVERSION target=35 pos_orig=0 took=0 gap=35 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
5100,,"mid=9984.0 dyn_mean=9999.4 z=-0.48 mom=0.0 trend=-0.86 regime=MILD_REVERSION target=30 pos_orig=0 took=0 gap=30 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9976(✓) ask@9992(✓) qty=1"
5200,,"mid=9986.0 dyn_mean=9999.4 z=-0.42 mom=0.0 trend=-0.56 regime=MILD_REVERSION target=19 pos_orig=0 took=0 gap=19 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
5300,,"mid=9982.0 dyn_mean=9999.4 z=-0.54 mom=0.0 trend=-0.73 regime=MILD_REVERSION target=40 pos_orig=0 took=0 gap=40 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9974(✓) ask@9990(✓) qty=1"
5400,,"mid=9983.0 dyn_mean=9999.4 z=-0.51 mom=0.0 trend=-0.66 regime=MILD_REVERSION target=35 pos_orig=0 took=0 gap=35 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
5500,,"mid=9980.0 dyn_mean=9999.4 z=-0.60 mom=0.0 trend=-0.66 regime=MILD_REVERSION target=50 pos_orig=0 took=0 gap=50 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9972(✓) ask@9988(✓) qty=1"
5600,,"mid=9981.0 dyn_mean=9999.3 z=-0.57 mom=0.0 trend=-0.66 regime=MILD_REVERSION target=45 pos_orig=0 took=0 gap=45 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9973(✓) ask@9989(✓) qty=1"
5700,,"mid=9981.0 dyn_mean=9999.3 z=-0.57 mom=0.0 trend=-0.60 regime=MILD_REVERSION target=45 pos_orig=0 took=0 gap=45 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9973(✓) ask@9989(✓) qty=1"
5800,,"mid=9984.0 dyn_mean=9999.3 z=-0.48 mom=0.0 trend=-0.30 regime=MILD_REVERSION target=29 pos_orig=0 took=0 gap=29 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9976(✓) ask@9992(✓) qty=1"
5900,,"mid=9986.0 dyn_mean=9999.3 z=-0.42 mom=0.0 trend=-0.24 regime=MILD_REVERSION target=19 pos_orig=0 took=0 gap=19 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
6000,,"mid=9986.0 dyn_mean=9999.3 z=-0.41 mom=0.0 trend=-0.18 regime=MILD_REVERSION target=19 pos_orig=0 took=0 gap=19 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
6100,,"mid=9987.0 dyn_mean=9999.3 z=-0.38 mom=0.0 trend=-0.24 regime=MILD_REVERSION target=13 pos_orig=0 took=0 gap=13 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
6200,,"mid=9987.0 dyn_mean=9999.2 z=-0.38 mom=0.0 trend=-0.18 regime=MILD_REVERSION target=13 pos_orig=0 took=0 gap=13 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
6300,,"mid=9986.0 dyn_mean=9999.2 z=-0.41 mom=0.0 trend=-0.12 regime=MILD_REVERSION target=18 pos_orig=0 took=0 gap=18 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
6400,,"mid=9987.0 dyn_mean=9999.2 z=-0.38 mom=0.0 trend=0.00 regime=MILD_REVERSION target=13 pos_orig=0 took=0 gap=13 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
6500,,"mid=9985.0 dyn_mean=9999.2 z=-0.44 mom=0.0 trend=-0.12 regime=MILD_REVERSION target=23 pos_orig=0 took=0 gap=23 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9977(✓) ask@9993(✓) qty=1"
6600,,"mid=9988.0 dyn_mean=9999.2 z=-0.35 mom=0.0 trend=0.30 regime=MILD_REVERSION target=8 pos_orig=0 took=0 gap=8 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
6700,,"mid=9989.0 dyn_mean=9999.2 z=-0.32 mom=0.0 trend=0.49 regime=MILD_REVERSION target=3 pos_orig=0 took=0 gap=3 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
6800,,"mid=9988.0 dyn_mean=9999.2 z=-0.35 mom=0.0 trend=0.37 regime=MILD_REVERSION target=8 pos_orig=0 took=0 gap=8 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
6900,,"mid=9990.0 dyn_mean=9999.2 z=-0.29 mom=0.0 trend=0.25 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9982(✓) ask@9998(✓) qty=1"
7000,,"mid=9990.0 dyn_mean=9999.2 z=-0.29 mom=0.0 trend=0.19 regime=MOMENTUM target=0 pos_orig=0 took=0 gap=0 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9982(✓) ask@9998(✓) qty=1"
7100,,"mid=9989.0 dyn_mean=9999.1 z=-0.32 mom=0.0 trend=0.06 regime=MILD_REVERSION target=2 pos_orig=0 took=0 gap=2 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
7200,,"mid=9988.0 dyn_mean=9999.1 z=-0.35 mom=0.0 trend=0.19 regime=MILD_REVERSION target=7 pos_orig=0 took=0 gap=7 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
7300,,"mid=9984.0 dyn_mean=9999.1 z=-0.47 mom=0.0 trend=-0.19 regime=MILD_REVERSION target=28 pos_orig=0 took=0 gap=28 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9976(✓) ask@9992(✓) qty=1"
7400,,"mid=9984.0 dyn_mean=9999.1 z=-0.47 mom=0.0 trend=0.10 regime=MILD_REVERSION target=28 pos_orig=0 took=0 gap=28 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9976(✓) ask@9992(✓) qty=1"
7500,,"mid=9982.0 dyn_mean=9999.1 z=-0.53 mom=0.0 trend=-0.26 regime=MILD_REVERSION target=39 pos_orig=0 took=0 gap=39 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9974(✓) ask@9990(✓) qty=1"
7600,,"mid=9982.0 dyn_mean=9999.1 z=-0.53 mom=0.0 trend=-0.40 regime=MILD_REVERSION target=38 pos_orig=0 took=0 gap=38 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9974(✓) ask@9990(✓) qty=1"
7700,,"mid=9981.0 dyn_mean=9999.1 z=-0.56 mom=0.0 trend=-0.40 regime=MILD_REVERSION target=44 pos_orig=0 took=0 gap=44 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9973(✓) ask@9989(✓) qty=1"
7800,,"mid=9980.0 dyn_mean=9999.0 z=-0.59 mom=0.0 trend=-0.68 regime=MILD_REVERSION target=49 pos_orig=0 took=0 gap=49 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9972(✓) ask@9988(✓) qty=1"
7900,,"mid=9980.0 dyn_mean=9999.0 z=-0.59 mom=0.0 trend=-0.75 regime=MILD_REVERSION target=49 pos_orig=0 took=0 gap=49 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9972(✓) ask@9988(✓) qty=1"
8000,,"mid=9982.0 dyn_mean=9999.0 z=-0.53 mom=0.0 trend=-0.61 regime=MILD_REVERSION target=38 pos_orig=0 took=0 gap=38 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9974(✓) ask@9990(✓) qty=1"
8100,,"mid=9985.0 dyn_mean=9999.0 z=-0.44 mom=0.0 trend=-0.46 regime=MILD_REVERSION target=22 pos_orig=0 took=0 gap=22 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9977(✓) ask@9993(✓) qty=1"
8200,,"mid=9986.0 dyn_mean=9999.0 z=-0.41 mom=0.0 trend=-0.33 regime=MILD_REVERSION target=17 pos_orig=0 took=0 gap=17 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
8300,,"mid=9988.0 dyn_mean=9999.0 z=-0.34 mom=0.0 trend=-0.26 regime=MILD_REVERSION target=7 pos_orig=0 took=0 gap=7 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9980(✓) ask@9996(✓) qty=1"
8400,,"mid=9986.0 dyn_mean=9998.9 z=-0.40 mom=0.0 trend=-0.20 regime=MILD_REVERSION target=17 pos_orig=0 took=0 gap=17 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
8500,,"mid=9984.0 dyn_mean=9998.9 z=-0.47 mom=0.0 trend=-0.26 regime=MILD_REVERSION target=27 pos_orig=0 took=0 gap=27 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9976(✓) ask@9992(✓) qty=1"
8600,,"mid=9986.0 dyn_mean=9998.9 z=-0.40 mom=0.0 trend=-0.62 regime=MILD_REVERSION target=17 pos_orig=0 took=0 gap=17 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
8700,,"mid=9987.0 dyn_mean=9998.9 z=-0.37 mom=0.0 trend=-0.23 regime=MILD_REVERSION target=12 pos_orig=0 took=0 gap=12 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
8800,,"mid=9989.0 dyn_mean=9998.9 z=-0.31 mom=0.0 trend=0.00 regime=MILD_REVERSION target=1 pos_orig=0 took=0 gap=1 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
8900,,"mid=9989.0 dyn_mean=9998.9 z=-0.31 mom=0.0 trend=0.00 regime=MILD_REVERSION target=1 pos_orig=0 took=0 gap=1 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9981(✓) ask@9997(✓) qty=1"
9000,,"mid=9986.0 dyn_mean=9998.9 z=-0.40 mom=0.0 trend=-0.07 regime=MILD_REVERSION target=17 pos_orig=0 took=0 gap=17 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9978(✓) ask@9994(✓) qty=1"
9100,,"mid=9987.0 dyn_mean=9998.9 z=-0.37 mom=0.0 trend=0.07 regime=MILD_REVERSION target=11 pos_orig=-2 took=0 gap=13 cum_pnl=0 peak=0 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9979(✓) ask@9995(✓) qty=1"
9200,,"mid=9983.0 dyn_mean=9998.8 z=-0.50 mom=0.0 trend=-0.14 regime=MILD_REVERSION target=32 pos_orig=-2 took=0 gap=34 cum_pnl=8 peak=8 dd=0 m38_hit=(--)
MARK38: mode=PROBE conf=0 bid@9975(✓) ask@9991(✓) qty=1"
